Timestamp,Gender,Age,What's your position in the family?,"Who does most of the chores at home? 
chores = home tasks",Do you think the chores are divided fairly?,How would you describe your relationship with your siblings?,How often do you talk to your siblings?,Do you think the tasks affect your relationship with your siblings?,How do you think the tasks influence your family's relationships?,How happy are you with your relationship with your siblings?
3/11/2024 17:58:16,Male,23,Youngest,"Parents, Older sibling",No,Sometimes argue,Rarely,No,Encourage us to work together,Happy
3/11/2024 23:22:04,Female,21,Middle,Parents,No,Close,Every day,Yes,Bring us closer,Very happy
3/13/2024 16:52:38,Male,21,Middle,Parents,Yes,Sometimes argue,Few times a week,Yes,Sometimes cause problems,Unhappy
3/13/2024 16:53:51,Male,22,Oldest,"Parents, Younger sibling",No,Not very close,Once a week,Yes,Encourage us to work together,Very unhappy
3/13/2024 16:54:01,Female,24,Oldest,"Parents, Me",No,Supportive,Every day,Yes,Bring us closer,Very unhappy
3/13/2024 16:54:28,Female,23,Middle,"Parents, Younger sibling",No,Close,Every day,Yes,Bring us closer,Happy
3/14/2024 14:49:05,Male,24,Oldest,"Parents, Me",No,Not very close,Few times a week,Yes,No big impact,Unhappy
3/14/2024 14:49:53,Female,23,Middle,"Older sibling, Me",No,Sometimes argue,Every day,Yes,Sometimes cause problems,Unhappy
3/14/2024 14:50:01,Male,30,Oldest,We share equally,No,Sometimes argue,Rarely,Yes,Encourage us to work together,Unhappy
3/14/2024 14:50:48,Female,25,Youngest,Older sibling,Yes,Not very close,Few times a week,Yes,No big impact,Very happy
3/14/2024 14:51:11,Male,22,Youngest,Parents,No,Sometimes argue,Few times a week,Yes,Sometimes cause problems,Neutral
3/14/2024 14:51:18,Female,27,Middle,Me,No,Not very close,Few times a week,No,Sometimes cause problems,Unhappy
3/14/2024 14:52:01,Female,20,Oldest,We share equally,Yes,Supportive,Every day,Yes,Bring us closer,Very happy
3/14/2024 14:52:06,Male,29,Youngest,We share equally,Yes,Supportive,Every day,No,Sometimes cause problems,Unhappy
3/14/2024 14:53:11,Female,20,Youngest,We share equally,Yes,Close,Every day,Yes,Bring us closer,Happy
3/14/2024 14:53:29,Male,28,Middle,"Parents, Younger sibling, Me",Yes,Supportive,Never,No,Sometimes cause problems,Neutral
3/14/2024 14:53:56,Male,21,Middle,We share equally,Yes,Supportive,Once a week,Yes,Encourage us to work together,Happy
3/14/2024 14:54:38,Female,23,Youngest,"Parents, Older sibling",Yes,Sometimes argue,Few times a week,Yes,Bring us closer,Happy
3/14/2024 14:55:15,Male,25,Oldest,"Parents, Younger sibling",No,Sometimes argue,Once a week,No,Encourage us to work together,Very unhappy
3/14/2024 14:55:30,Male,24,Middle,"Parents, Younger sibling",Yes,Not very close,Few times a week,Yes,Sometimes cause problems,Happy
3/14/2024 14:56:03,Male,25,Middle,We share equally,No,Supportive,Few times a week,Yes,Sometimes cause problems,Happy
3/14/2024 14:56:19,Male,25,Middle,"Parents, Younger sibling",No,Supportive,Every day,No,Bring us closer,Neutral
3/14/2024 14:56:40,Male,24,Oldest,Older sibling,Yes,Close,Few times a week,Yes,Sometimes cause problems,Happy
3/14/2024 14:57:27,Male,26,Youngest,"Younger sibling, Me",No,Supportive,Every day,Yes,Sometimes cause problems,Happy
3/14/2024 14:57:28,Female,18,Youngest,"Older sibling, Me",No,Sometimes argue,Few times a week,No,Bring us closer,Unhappy
3/14/2024 14:57:52,Female,19,Youngest,"Parents, Older sibling",No,Sometimes argue,Rarely,No,Sometimes cause problems,Neutral
3/14/2024 14:58:02,Female,26,Youngest,"Parents, Me",No,Not very close,Every day,Yes,Sometimes cause problems,Neutral
3/14/2024 14:58:49,Female,23,Oldest,"Parents, Me",No,Sometimes argue,Every day,Yes,Encourage us to work together,Neutral
3/14/2024 14:59:19,Female,20,Oldest,Me,No,Not very close,Every day,Yes,Sometimes cause problems,Unhappy
3/14/2024 14:59:23,Female,23,Oldest,"Parents, Me",Yes,Sometimes argue,Few times a week,Yes,Sometimes cause problems,Unhappy
3/14/2024 14:59:45,Female,23,Middle,We share equally,Yes,Supportive,Few times a week,Yes,Encourage us to work together,Happy
3/14/2024 14:59:50,Male,20,Middle,"Parents, Older sibling",Yes,Sometimes argue,Few times a week,No,Encourage us to work together,Neutral
3/14/2024 15:00:29,Male,19,Youngest,We share equally,No,Sometimes argue,Rarely,No,No big impact,Neutral
3/14/2024 15:01:02,Female,19,Middle,"Parents, Me",Yes,Sometimes argue,Once a week,No,Encourage us to work together,Neutral
3/14/2024 15:01:34,Male,20,Oldest,"Parents, Me",No,Sometimes argue,Few times a week,Yes,Sometimes cause problems,Happy
3/14/2024 20:32:57,Female,25,Youngest,"Older sibling, Younger sibling",No,Sometimes argue,Once a week,Yes,Encourage us to work together,Neutral
3/14/2024 20:38:05,Male,20,Oldest,"Parents, Me",No,Not very close,Few times a week,No,Sometimes cause problems,Neutral
3/14/2024 20:38:40,Female,21,Middle,We share equally,Yes,Close,Every day,Yes,Bring us closer,Happy
3/14/2024 20:39:26,Female,24,Middle,"Older sibling, Younger sibling",No,Close,Few times a week,No,Encourage us to work together,Neutral
3/14/2024 20:40:27,Female,28,Oldest,"Parents, Older sibling, Younger sibling",No,Close,Every day,No,Sometimes cause problems,Very unhappy
3/14/2024 20:42:14,Female,20,Middle,We share equally,Yes,Sometimes argue,Never,No,No big impact,Neutral
3/14/2024 20:42:33,Female,20,Oldest,We share equally,No,Not very close,Never,No,No big impact,Very unhappy
3/14/2024 20:43:23,Female,20,Youngest,"Parents, Older sibling",No,Sometimes argue,Every day,Yes,Encourage us to work together,Very happy
3/14/2024 20:43:56,Female,29,Youngest,Younger sibling,Yes,Supportive,Rarely,No,Sometimes cause problems,Neutral
3/14/2024 20:48:30,Female,27,Oldest,"Parents, Older sibling",No,Sometimes argue,Every day,Yes,Bring us closer,Very unhappy
3/14/2024 20:48:51,Female,29,Oldest,"Older sibling, Younger sibling",No,Sometimes argue,Rarely,No,Encourage us to work together,Unhappy
3/14/2024 20:49:11,Female,23,Middle,"Parents, Older sibling",No,Supportive,Few times a week,Yes,No big impact,Neutral
3/14/2024 20:49:28,Female,26,Oldest,"Parents, Older sibling",Yes,Sometimes argue,Few times a week,Yes,Sometimes cause problems,Neutral
3/14/2024 20:50:04,Female,21,Oldest,"Older sibling, Younger sibling",No,Supportive,Every day,Yes,Encourage us to work together,Very unhappy
3/14/2024 20:50:50,Female,22,Middle,"Older sibling, Younger sibling",No,Not very close,Once a week,No,Sometimes cause problems,Neutral
3/14/2024 20:51:23,Female,24,Middle,"Parents, Older sibling",Yes,Supportive,Few times a week,No,Sometimes cause problems,Very unhappy
3/14/2024 20:51:47,Male,28,Middle,"Older sibling, Younger sibling",No,Close,Every day,Yes,Encourage us to work together,Happy
3/17/2024 10:56:03,Female,20,Middle,"Parents, Older sibling",Yes,Not very close,Every day,Yes,No big impact,Unhappy
3/17/2024 11:50:31,Male,22,Middle,Parents,No,Supportive,Once a week,Yes,Sometimes cause problems,Neutral
3/17/2024 11:51:49,Male,24,Youngest,"Parents, Older sibling",Yes,Sometimes argue,Every day,Yes,Sometimes cause problems,Neutral
3/17/2024 11:57:00,Female,21,Middle,"Parents, Older sibling, Younger sibling",Yes,Sometimes argue,Every day,Yes,Sometimes cause problems,Neutral
